Instances,,,SamplingCA,,,,AutoCCAG,,,,FastCA,,,,TCA,,,,CASA,,,,HHSA,,,,ACTS,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
aaed2000,,135,141.7,44.0643999999999,,210,228.55,2623.3365,,213,228.87,3264.8303,,251,271.97,1855.4581,,-,-,-,,-,-,-,,-,-,-
adder,,100,108.89,33.2775,,169,187.5,1528.72089999999,,170,188.15,1315.3978,,206,226.36,972.313199999999,,-,-,-,,-,-,-,,-,-,-
adderII,,101,109.16,33.3734999999999,,166,183.67,1605.7187,,164,183.82,1266.5574,,203,219.82,948.988299999999,,-,-,-,,-,-,-,,-,-,-
aeb,,98,104.16,29.0974999999999,,162,176.78,1504.98009999999,,160,177.09,1240.1652,,194,212.5,835.3267,,-,-,-,,-,-,-,,-,-,-
aim711,,105,109.48,32.7459,,171,187.05,1582.73029999999,,170,187.22,1405.53249999999,,201,224.86,965.2056,,-,-,-,,-,-,-,,-,-,-
aki3068net,,103,108.39,29.6819,,170,183.91,1476.08139999999,,169,184.09,1240.34529999999,,201,221.46,837.132599999999,,-,-,-,,-,-,-,,-,-,-
am31_sim,,93,98.95,25.3012,,139,153.06,1411.4864,,139,153.25,1116.9173,,165,185.47,697.597599999999,,160,180.05,3422.19494949495,,-,-,-,,-,-,-
asb,,95,102.22,29.5292999999999,,151,163.11,1462.67709999999,,152,163.39,1164.53,,184,200.01,853.276899999999,,-,-,-,,-,-,-,,-,-,-
asb2305,,97,102.7,29.9964,,150,164.59,1273.57249999999,,149,164.91,1155.1732,,181,200.26,850.412599999999,,-,-,-,,-,-,-,,-,-,-
assabet,,97,104.04,31.5794,,164,175.76,1566.8366,,165,175.86,1403.93909999999,,189,210.24,953.7721,,-,-,-,,-,-,-,,-,-,-
at91sam7sek,,98,104.1,32.9647,,154,170.23,1484.51229999999,,156,170.25,1482.86879999999,,187,204.13,958.2872,,-,-,-,,-,-,-,,-,-,-
at91sam7xek,,104,110.39,36.0616,,172,186.47,1629.6975,,171,186.66,1567.6206,,204,224.49,1085.48909999999,,-,-,-,,-,-,-,,-,-,-
atlas_mips32_4kc,,102,108.3,30.3488,,168,182.05,1422.756,,167,182.36,1241.82619999999,,194,219.37,852.4663,,-,-,-,,-,-,-,,-,-,-
atlas_mips64_5kc,,102,108.13,29.6654999999999,,168,182.85,1455.1873,,169,183.12,1083.6462,,198,219.84,833.3407,,-,-,-,,-,-,-,,-,-,-
axtls,,32,34.31,0.0827999999999999,,32,39.55,1319.0294,,33,39.3,592.546299999999,,35,38.51,514.1439,,27,30.86,68.5382999999999,,-,-,-,,36,36,31.846947368421
brutus,,95,101.29,28.7512,,153,166.18,1434.8748,,154,166.55,1199.17459999999,,182,199.12,841.512599999999,,-,-,-,,-,-,-,,-,-,-
buildroot,,28,30.23,2.01459999999999,,15,15.01,74.297,,15,15.5,1039.9639,,15,15,128.234,,16,18.03,392.719599999999,,-,-,-,,-,-,-
busybox_1_28_0,,54,58.12,11.5686,,95,111.18,611.188399999999,,95,111.37,567.298399999999,,125,137.77,512.7757,,99,110.95,3224.2495,,-,-,-,,-,-,-
calm16_ceb,,95,101.26,26.6909,,148,161.88,1261.4531,,148,162.16,1125.35219999999,,176,195.85,742.7451,,170,198.59,3550.75280487804,,-,-,-,,-,-,-
calm32_ceb,,95,101.84,26.4876,,147,162.37,1297.129,,147,162.57,1137.8518,,172,195.78,743.368899999999,,179,203.57,3545.15244444444,,-,-,-,,-,-,-
ceb_v850,,96,101.13,27.0957,,150,163.58,1350.05209999999,,150,163.84,1030.33129999999,,181,196.78,784.7246,,179,206.2,3579.012,,-,-,-,,-,-,-
cerf,,104,111.73,34.4696,,182,194.63,1640.3377,,179,194.87,1497.7774,,211,232.21,982.1327,,-,-,-,,-,-,-,,-,-,-
cerfpda,,106,112.44,35.0850999999999,,177,195.75,1598.8775,,179,195.86,1489.5762,,211,233.63,1045.45819999999,,-,-,-,,-,-,-,,-,-,-
cma230,,96,101.09,28.1259999999999,,152,169.8,1462.9744,,153,169.92,1316.1721,,183,202.96,823.4488,,-,-,-,,-,-,-,,-,-,-
cma28x,,93,100.19,27.4302,,146,164.96,1467.3857,,148,165.13,1110.9859,,183,197.92,791.4077,,-,-,-,,-,-,-,,-,-,-
cme555,,95,102.14,31.2783999999999,,150,165.24,1504.6365,,151,165.75,1291.69979999999,,178,199.58,890.188,,-,-,-,,-,-,-,,-,-,-
cq7708,,114,121.1,35.2015999999999,,171,193.57,2184.45229999999,,173,193.7,2618.2598,,213,231.19,1322.7941,,-,-,-,,-,-,-,,-,-,-
cq7750,,100,106.29,32.3034,,153,168.23,1417.4428,,152,168.67,1186.4869,,186,203.58,882.419899999999,,-,-,-,,-,-,-,,-,-,-
csb281,,106,112.59,32.5752999999999,,159,180.01,1512.4368,,160,180.35,1235.0322,,192,216.07,907.003399999999,,-,-,-,,-,-,-,,-,-,-
dreamcast,,108,113.52,33.4090999999999,,172,188.47,1589.6741,,172,188.75,1195.1772,,199,226.71,918.305899999999,,-,-,-,,-,-,-,,-,-,-
e7t,,103,110.17,32.8672,,163,177.6,1732.2298,,163,177.6,1543.1396,,200,218.47,937.2786,,-,-,-,,-,-,-,,-,-,-
ea2468,,102,109.94,40.1466,,170,187.69,1679.0488,,170,187.76,1589.3356,,206,223.86,1182.9188,,-,-,-,,-,-,-,,-,-,-
eb40,,98,102.94,30.0732999999999,,153,168.47,1406.7548,,153,168.82,1344.59879999999,,182,202.74,879.260599999999,,-,-,-,,-,-,-,,-,-,-
eb40a,,96,102.81,30.0114,,149,169.06,1426.4515,,147,169.11,1340.8963,,181,203.75,861.104899999999,,-,-,-,,-,-,-,,-,-,-
eb42,,96,101.96,29.7691,,152,164.02,1494.28769999999,,152,164.32,1257.5879,,179,197.51,850.524599999999,,-,-,-,,-,-,-,,-,-,-
eb55,,98,103.63,31.506,,149,168.48,1395.32379999999,,151,168.88,1439.7302,,183,202.95,951.598699999999,,-,-,-,,-,-,-,,-,-,-
ebsa285,,109,114.37,33.3718,,185,201.27,1695.15299999999,,186,201.54,1364.7987,,224,243.33,954.3368,,-,-,-,,-,-,-,,-,-,-
ec555,,95,102.07,30.7834,,152,165.68,1393.8197,,154,165.82,1275.5501,,185,200.8,899.142699999999,,-,-,-,,-,-,-,,-,-,-
ecos-icse11,,103,108.22,31.0392,,260,286.7,1662.2233,,260,287.23,1962.3207,,328,366.92,927.752599999999,,-,-,-,,-,-,-,,-,-,-
edb7xxx,,102,108.54,31.8999999999999,,173,186.9,1622.19569999999,,176,186.85,1379.5575,,210,226.89,918.403999999999,,-,-,-,,-,-,-,,-,-,-
edosk2674,,101,106.9,29.1939,,159,176.49,1284.11269999999,,159,176.6,1162.78049999999,,194,213.82,798.376199999999,,-,-,-,,-,-,-,,-,-,-
embtoolkit,,1107,1119.48,891.9397,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-,,-,-,-
excalibur_arm9,,118,125.25,35.5867,,182,205.74,1912.88139999999,,183,205.81,2609.3591,,217,245,1296.18549999999,,-,-,-,,-,-,-,,-,-,-
fads,,93,99.21,26.5722,,140,156.49,1298.9821,,137,156.88,1007.8405,,174,189.62,741.4886,,160,173.29,3559.41263157894,,-,-,-,,-,-,-
financial,,4421,4433.91,544.3052,,5292,5351.01,2951.9592,,5292,5351.04,2904.89099999999,,5293,5352.04,2743.30709999999,,-,-,-,,-,-,-,,-,-,-
flexanet,,105,111.24,33.6114,,172,195.3,1659.8822,,172,195.38,1453.90159999999,,215,233.88,972.4376,,-,-,-,,-,-,-,,-,-,-
freebsd-icse11,,116,121.33,43.9353999999999,,164,184.02,3478.9665,,173,188.62,3552.3804,,211,232.44,2821.5027,,-,-,-,,-,-,-,,-,-,-
frv400,,101,107.59,31.2936,,164,177.17,1280.2341,,164,177.28,1331.5493,,196,215.99,907.445999999999,,-,-,-,,-,-,-,,-,-,-
gps4020,,98,102.49,28.5757,,155,171.28,1554.1589,,157,171.4,1236.1463,,179,206.06,813.5899,,-,-,-,,-,-,-,,-,-,-
grg,,101,107.21,31.1666,,167,180.27,1459.149,,166,180.4,1334.25,,194,215.61,908.291699999999,,-,-,-,,-,-,-,,-,-,-
h8300h_sim,,94,99.54,26.5800999999999,,141,153.27,1375.8382,,140,153.56,1060.3347,,165,185.73,737.646,,159,171.17,3546.45055555555,,-,-,-,,-,-,-
h8max,,102,108.07,29.8382999999999,,163,182.41,1496.93479999999,,164,182.8,1178.3999,,192,219.1,801.222499999999,,-,-,-,,-,-,-,,-,-,-
h8s_sim,,93,99.28,26.4752999999999,,141,153.99,1337.37159999999,,142,154.26,1065.6434,,167,186.02,736.282099999999,,159,175.85,3548.5245,,-,-,-,,-,-,-
hs7729pci,,133,140.22,43.9913,,210,230.06,2250.8363,,213,230.19,3062.04799999999,,255,274.15,1549.56989999999,,-,-,-,,-,-,-,,-,-,-
innovator,,134,140.95,41.171,,204,225.73,2454.6682,,206,225.92,2988.0438,,255,270.43,1556.8068,,-,-,-,,-,-,-,,-,-,-
integrator_arm7,,104,109.11,32.9248,,164,176.89,1541.9493,,165,177.43,1446.6094,,190,214.59,925.9411,,-,-,-,,-,-,-,,-,-,-
