Instances,,,SamplingCA,,,,Alt-1,,,,Alt-2,,,,Alt-3,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
aaed2000,,135,141.7,44.0643999999999,,520,592.11,161.904799999999,,189,196.73,60.004,,1454,1606.89,97.7417
adder,,100,108.89,33.2775,,449,503.9,131.757299999999,,152,159.6,48.3567999999999,,746,818.66,84.2683999999999
adderII,,101,109.16,33.3734999999999,,445,503.21,133.1042,,151,159.36,48.1454,,711,801.81,84.5748999999999
aeb,,98,104.16,29.0974999999999,,431,481.46,114.525999999999,,148,154.21,42.2285,,715,802.11,76.2753
aim711,,105,109.48,32.7459,,420,501.37,127.3573,,152,160.05,47.3611999999999,,750,822.51,87.1929999999999
aki3068net,,103,108.39,29.6819,,438,487.41,113.9705,,148,156.55,42.3167,,780,885.65,75.6184999999999
am31_sim,,93,98.95,25.3012,,416,471.35,94.8699999999999,,135,146,36.7657,,699,779.11,62.5362
asb,,95,102.22,29.5292999999999,,433,503.33,112.421099999999,,145,151.72,42.668,,758,841.78,73.9942999999999
asb2305,,97,102.7,29.9964,,433,502.34,114.4282,,143,151.31,43.1255999999999,,750,839.64,76.0777999999999
assabet,,97,104.04,31.5794,,442,503.21,117.965199999999,,148,155.05,46.3609,,726,814.63,83.6967999999999
at91sam7sek,,98,104.1,32.9647,,422,489.98,124.5244,,144,154.6,48.0847999999999,,708,799.02,84.9327999999999
at91sam7xek,,104,110.39,36.0616,,431,506.57,138.3948,,154,161.37,52.3823999999999,,749,816.6,94.4296
atlas_mips32_4kc,,102,108.3,30.3488,,444,500.14,117.252899999999,,151,157.59,43.4378,,782,916.08,77.3555999999999
atlas_mips64_5kc,,102,108.13,29.6654999999999,,428,493.54,116.221499999999,,147,157.52,42.5662999999999,,765,900.01,76.0545999999999
axtls,,32,34.31,0.0827999999999999,,36,40.45,0.189,,34,36.8,0.0886999999999999,,47,54.8,0.0905999999999999
brutus,,95,101.29,28.7512,,421,473.5,108.143299999999,,144,151.17,42.0933,,701,781.81,72.7940999999999
buildroot,,28,30.23,2.01459999999999,,45,45.66,2.30759999999999,,31,32.96,2.28219999999999,,35,42.84,1.87119999999999
busybox_1_28_0,,54,58.12,11.5686,,848,1007.97,20.2417999999999,,69,72.33,14.2265,,1013,1039.25,25.0425999999999
calm16_ceb,,95,101.26,26.6909,,417,472.37,101.9825,,142,150.36,38.4717,,714,786.78,66.2340999999999
calm32_ceb,,95,101.84,26.4876,,408,470.31,101.111099999999,,144,150.09,38.5423,,712,788.67,66.2379
ceb_v850,,96,101.13,27.0957,,417,473.32,102.843,,143,149.74,39.647,,708,777.95,69.2553999999999
cerf,,104,111.73,34.4696,,458,519.42,131.0691,,154,163.45,49.2081999999999,,793,882.24,93.0891999999999
cerfpda,,106,112.44,35.0850999999999,,449,516.97,133.565399999999,,155,164.43,50.6371999999999,,809,925.26,93.2179999999999
cma230,,96,101.09,28.1259999999999,,422,477.07,106.848099999999,,144,151.02,41.1744,,684,787.47,71.6888999999999
cma28x,,93,100.19,27.4302,,425,475.39,106.5142,,141,149.02,40.0219,,705,785.95,69.4552
cme555,,95,102.14,31.2783999999999,,432,508.03,119.325299999999,,140,152,45.2768,,761,848.1,79.101
cq7708,,114,121.1,35.2015999999999,,433,491.5,130.1948,,163,170.1,48.2349999999999,,953,1125.47,81.2969999999999
cq7750,,100,106.29,32.3034,,448,506.11,125.7814,,147,156.76,46.9978,,748,844.96,79.8442
csb281,,106,112.59,32.5752999999999,,449,519.4,124.941399999999,,152,161.76,45.6811999999999,,727,824.42,81.0277
dreamcast,,108,113.52,33.4090999999999,,446,505.02,130.5707,,158,164.41,47.5557,,737,815.38,83.4554
e7t,,103,110.17,32.8672,,474,537.84,126.9568,,154,162.45,47.6567,,817,891.55,85.5897
ea2468,,102,109.94,40.1466,,457,513.59,154.7309,,148,160.14,57.0312,,738,821.44,106.067499999999
eb40,,98,102.94,30.0732999999999,,425,479.55,112.9924,,142,152.13,43.5311999999999,,731,798.99,76.4780999999999
eb40a,,96,102.81,30.0114,,419,481.93,113.248299999999,,147,152.51,43.7604999999999,,729,808.21,76.7473
eb42,,96,101.96,29.7691,,429,480.33,110.8348,,144,151.61,42.9364,,706,792.49,73.5057999999999
