Instances,,,SamplingCA (k=10),,,,SamplingCA (k=50),,,,SamplingCA (k=100),,,,SamplingCA (k=500),,,,SamplingCA (k=1000),
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
aaed2000,,194,214.95,6.68569999999999,,147,155.16,24.2266,,135,141.7,44.0643999999999,,117,122.35,185.8393,,112,117.06,356.5327
adder,,149,166.95,5.33289999999999,,111,119.39,18.5567,,100,108.89,33.2775,,90,94.23,141.937099999999,,86,90.44,270.610199999999
adderII,,148,165.01,5.36029999999999,,111,118.61,18.3828,,101,109.16,33.3734999999999,,89,94.58,144.1367,,86,90.7,272.923899999999
aeb,,141,157.73,4.66769999999999,,104,113.98,16.0652,,98,104.16,29.0974999999999,,87,90.76,125.0831,,84,87.22,237.9919
aim711,,148,166.94,5.13169999999999,,113,119.66,18.0712,,105,109.48,32.7459,,91,95.17,141.011499999999,,87,91.14,270.1785
aki3068net,,143,164.43,4.5706,,111,118.32,16.2748,,103,108.39,29.6819,,89,93.73,126.587899999999,,86,89.83,242.3904
am31_sim,,131,152.28,3.88299999999999,,102,108.53,13.976,,93,98.95,25.3012,,83,86.58,108.92,,79,82.65,207.404299999999
asb,,137,157.04,4.69999999999999,,104,111.44,16.172,,95,102.22,29.5292999999999,,86,89.12,126.169099999999,,81,85.4,239.3884
asb2305,,138,156.6,4.79699999999999,,105,111.93,16.6588,,97,102.7,29.9964,,85,89,128.0502,,82,85.25,243.9548
assabet,,140,156.59,5.05059999999999,,106,112.81,17.4467,,97,104.04,31.5794,,86,91.01,135.811,,85,87.15,259.4725
at91sam7sek,,141,159.07,5.24729999999999,,107,114.64,18.2249,,98,104.1,32.9647,,88,91.12,142.2888,,84,87.41,271.6642
at91sam7xek,,145,168.53,5.73849999999999,,111,120.26,20.0274,,104,110.39,36.0616,,92,95.96,154.2161,,88,91.65,293.2726
atlas_mips32_4kc,,145,164.98,4.84359999999999,,108,118.82,16.764,,102,108.3,30.3488,,90,94.04,129.031199999999,,87,90.14,248.6207
atlas_mips64_5kc,,144,163.72,4.61429999999999,,110,118.28,16.4029,,102,108.13,29.6654999999999,,89,93.89,127.586399999999,,86,90.01,243.2578
axtls,,38,41.31,0.0002,,33,35.25,0.0270999999999999,,32,34.31,0.0827999999999999,,30,32.82,0.4474,,30,32.55,0.9288
brutus,,136,154.57,4.5873,,102,110.42,15.8589,,95,101.29,28.7512,,84,88.71,123.524699999999,,80,84.39,233.4277
buildroot,,31,36.33,0.261299999999999,,28,31.7,1.02669999999999,,28,30.23,2.01459999999999,,27,28.06,9.5551,,26,27.62,18.9019
busybox_1_28_0,,65,69.31,1.5914,,57,60.26,6.0745,,54,58.12,11.5686,,52,54.63,53.6205999999999,,51,53.39,104.599599999999
calm16_ceb,,132,155.97,4.2687,,105,111.29,14.6582,,95,101.26,26.6909,,84,88.29,112.8037,,81,84.61,216.748499999999
calm32_ceb,,130,154.52,4.2439,,104,111.11,14.6971,,95,101.84,26.4876,,84,88.29,113.200099999999,,81,84.57,216.1233
ceb_v850,,127,152.34,4.355,,103,110.19,14.8614,,96,101.13,27.0957,,84,87.74,116.198399999999,,80,84,221.393499999999
cerf,,147,169.9,5.51329999999999,,114,121.96,18.8347,,104,111.73,34.4696,,93,96.43,145.2796,,89,92.52,279.0257
cerfpda,,153,171.72,5.59679999999999,,114,122.4,19.2428,,106,112.44,35.0850999999999,,93,97.55,150.3803,,89,92.8,284.138
cma230,,134,154.91,4.44509999999999,,103,110.23,15.5485,,96,101.09,28.1259999999999,,84,88.16,120.4864,,81,84.57,230.5359
cma28x,,127,151.46,4.46669999999999,,101,110.08,15.3073,,93,100.19,27.4302,,84,87.4,118.284099999999,,79,83.67,227.115099999999
cme555,,136,156.73,4.95549999999999,,103,111.64,17.0413,,95,102.14,31.2783999999999,,86,88.66,132.137499999999,,82,85.45,255.5398
cq7708,,164,179.08,5.62849999999999,,121,131.95,19.426,,114,121.1,35.2015999999999,,102,105.77,149.9641,,98,101.4,289.2257
cq7750,,141,160.76,5.14589999999999,,106,115.49,17.671,,100,106.29,32.3034,,88,92.31,137.7998,,85,88.33,262.1122
csb281,,148,172.01,5.18029999999999,,115,123.71,17.8295,,106,112.59,32.5752999999999,,93,97.51,138.184299999999,,90,93.25,263.6782
